,id,song,artist,genre,tonality,capo,chords
20,11066,Wicked Game,Chris Isaak,Rock,Bm,0,"Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E"
21,11489,Torn,Natalie Imbruglia,Pop,F,0,"F,Bb,F,Gm,F,Am,Bb,F,Am,Bb,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,F,Am,Bb,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,Dm,C,Bb,Dm,F,C,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,Dm,C,F,F,F,F,F,Am,Bb,F,Am,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb"
22,12649,Sweet Child O Mine,Sheryl Crow,Country,D,0,"D,D,D7,D7,D,Cadd9,G,D,D,Cadd9,G,D,Am,Cadd9,D,Am,F,D,D,Cadd9,G,D,D,Cadd9,G,D,D,Cadd9,G,D,Am,Cadd9,D,Am,F,D,Am,Cadd9,D,Am,F,D,Em,C,Bm7,Am,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em"
23,12726,Patience,Guns N Roses,,C,0,"C,G,A,D,C,G,A,D,C,G,C,Em,C,G,D,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,Dsus2,D,Dsus4,D,Dsus2,D,Dsus2,D,Dsus4,D,Dsus2,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,F,G,D,G,D"
24,12835,Good Riddance Time Of Your Life,Green Day,Punk,G,0,"G,G,Cadd9,D,G,G,Cadd9,D,G,Cadd9,D,G,Cadd9,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,G,Cadd9,D,G,Cadd9,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,G,G,Cadd9,D,G,G,Cadd9,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,G"
25,13305,Superman Its Not Easy,Five for Fighting,Rock,C,0,"C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,Am,C,Dm,Am,D,C,D,F,G,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C"
26,14087,More Than Words,Extreme,Classic Rock,G,0,"G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,C,D,Em,Am7,D,G,D/F#,Em,Am7,D7,G7,G7,C,C,Cm,G,Em7,Am7,D7,G,G,D/F#,Em,Bm,C,C,Am7,D7,G,G,D/F#,Em7,Bm,C,C,Am7,D7,G,G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,D,G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,C,D,Em,Am7,D,G,D/F#,Em,Am7,D7,G7,C,C,Cm,G,Em7,Am7,D7,G,G,D/F#,Em,Bm,C,C,Am7,D7,G,G,D/F#,Em7,Bm,C,C,Am7,D7,G"
27,14172,Save Tonight,Eagle-Eye Cherry,,Am,0,"Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G"
28,14319,Lyin Eyes,Eagles,Rock,G,0,"G,Gmaj7,C,Am,D7,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,C,D,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,C,G,G,C,G,C,G,Em,Bm,Am,D,G,C,A7,Am,D,G,G,Gmaj7,C,Am,D7,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,C,D,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,G,C,G,C,G,Em,Bm,Am,D,G,C,A7,Am,D,G,G,Gmaj7,C,Am,D7,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,C,D,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,C,G,G,C,G,C,G,Em,Bm,Am,D,G,C,A7,Am,D,G,Gmaj7,Am,D,G,Gmaj7,Am,D,G,G,Gmaj7,Am,D,G"
29,14322,Take It Easy,Eagles,Rock,G,0,"G,G,D,C,G,D,C,G,Em,C,G,Am,C,Em,C,G,C,G,Am,C,G,G,D,C,G,D,C,G,Em,D,C,G,Am,C,Em,C,G,C,G,Am,C,G,G,D,C,G,D,C,G,Em,D,C,G,Am,C,Em,D,G,D,Am,G,D,C,G,Em,C,G,Am,C,Em,C,G,C,G,Am,C,G,C,G,C,G,C,G,G7,C,G,G7,C,Em"
